PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,Label,classification
0.001331,0.001411,0.298883,0.001411,0.322034,0.429003,0.313525,0.76779,0.818182,0.170388,0.006961,0.007075,0,0.073171,0.031447,0.805085,0.765306,0.042885,0.034519,0.589888,0.059163,0.003238,0.625,0.00192,0.770083,0.101523,0.056613,0.001739,0.270408,0.181998,0.137073,0.384289,0.000742,0.000788,0.417444,0.000825,0.00096,0,0,0,0,0,0,0.002158,0,0.000592,0.063403,0.000175,0,0.032334,0.000331,TRUE,TRUE
0.005024,0.005079,0.427374,0.005079,0.389831,0.492447,0.241803,0.764045,0.745455,0.207991,0.016241,0.037736,0.042553,0.101626,0.062893,0.716102,0.663265,0.099415,0.078452,0.700375,0.251082,0.018285,0.363889,0.006548,0.699446,0.137056,0.121044,0.005816,0.408163,0.269505,0.232582,0.375796,0.00376,0.003359,0.393856,0.002738,0.003851,0.099502,0,0.022968,0,0.009296,0.521352,0.004002,0.000663,0.00537,0.169121,0.002015,0.003119,0.036363,0.001058,TRUE,TRUE
0.005383,0.005535,0.379888,0.005535,0.355932,0.432024,0.295082,0.812734,0.795455,0.191539,0.006961,0.011792,0.010638,0.069106,0.023061,0.795551,0.742857,0.038986,0.027197,0.720974,0.181818,0.013189,0.402778,0.007507,0.729917,0.124873,0.081074,0.006881,0.290816,0.235742,0.186705,0.360934,0.004834,0.005216,0.426221,0.003825,0.004544,0,0,0,0,0,0.405694,0.013585,0.001771,0.006895,0.186139,0.002492,0.007689,0.031725,0.00132,TRUE,TRUE
0.001244,0.001339,0.256983,0.001339,0.338983,0.422961,0.334016,0.816479,0.469318,0.542891,0.00464,0.002358,0,0.04878,0.014675,0.502119,0.940816,0.011696,0.023013,0.604869,0.053391,0.003314,0.527778,0.002012,0.82687,0.073096,0.043626,0.001536,0.387755,0.124314,0.045691,0.675159,0.000758,0.000578,0.383982,0.000787,0.000936,0,0,0,0,0,0.409253,0.001197,0.000387,0.000598,0.067203,0.000349,0.000161,0.045559,0.000223,TRUE,TRUE
0.001068,0.001189,0.167598,0.001167,0.279661,0.329305,0.295082,0.726592,0.628409,0.373678,0.006961,0.004717,0.021277,0.04878,0.019916,0.647246,0.742857,0.035088,0.034519,0.561798,0.067821,0.00281,0.611111,0.00184,0.880886,0.030457,0.050561,0.001385,0.290816,0.178245,0.169102,0.424628,0.000359,0.000261,0.413604,0.000375,0.000521,0,0,0,0,0,0,0.000584,0.000159,0.000172,0.023564,0.000023,0,0.034857,0.000253,TRUE,TRUE
0.003739,0.003838,0.385475,0.003838,0.372881,0.444109,0.321721,0.805243,0.835227,0.152761,0.006961,0.011792,0,0.065041,0.012579,0.841102,0.732653,0.02729,0.021967,0.625468,0.131313,0.010346,0.419444,0.005378,0.771468,0.060914,0.067835,0.004646,0.321429,0.213688,0.155332,0.40552,0.003286,0.002849,0.39605,0.002314,0.002824,0,0,0,0,0,0,0.00366,0.001707,0.003567,0.142871,0.001218,0.00043,0.055243,0.000525,TRUE,TRUE
0.001373,0.001408,0.388268,0.001408,0.389831,0.462236,0.284836,0.786517,0.695455,0.282021,0.0058,0.042453,0.010638,0.065041,0.013627,0.708686,0.72449,0.044834,0.033473,0.593633,0.109668,0.003305,0.613889,0.001912,0.699446,0.081218,0.045139,0.001724,0.311224,0.231466,0.159303,0.386412,0.000825,0.000826,0.397696,0.000845,0.000981,0.427861,0,0,0,0,0.537367,0.001766,0.000665,0.000633,0.067958,0.000227,0.000108,0.032596,0.000327,TRUE,TRUE
0.008027,0.008181,0.405028,0.008181,0.372881,0.456193,0.276639,0.764045,0.970455,0.016451,0.006961,0.011792,0,0.04878,0.041929,0.936441,0.738776,0.05848,0.048117,0.651685,0.139971,0.018589,0.505556,0.010648,0.770083,0.083249,0.089648,0.009692,0.346939,0.220579,0.184456,0.380042,0.006761,0.005838,0.411958,0.005854,0.00752,0.018242,0,0.019435,0,0,0.425267,0.009087,0,0.007279,0.133131,0.004115,0.00414,0.039364,0.001573,TRUE,TRUE
0.004883,0.00511,0.332402,0.00511,0.40678,0.489426,0.231557,0.764045,0.731818,0.231492,0.009281,0.03066,0.010638,0.113821,0.059748,0.704449,0.563265,0.072125,0.0659,0.73221,0.171717,0.020287,0.352778,0.006542,0.577562,0.138071,0.0812,0.005978,0.341837,0.256527,0.243545,0.350318,0.003017,0.003138,0.383434,0.002571,0.002819,0,0,0,0,0,0,0.00075,0.000349,0.002792,0.08526,0.001498,0.000914,0.030035,0.001288,TRUE,TRUE
0.007016,0.007235,0.371508,0.007234,0.398305,0.522659,0.237705,0.771536,0.927273,0.024677,0.024362,0.009434,0.074468,0.089431,0.144654,0.814619,0.818367,0.146199,0.117155,0.479401,0.080808,0.013174,0.419444,0.008897,0.788089,0.06802,0.073635,0.007705,0.494898,0.171821,0.174715,0.403397,0.004265,0.004432,0.413604,0.004934,0.005643,0,0.014545,0.010601,0,0,0.459075,0.011945,0,0.005333,0.115136,0.002732,0.001667,0.041634,0.001316,TRUE,TRUE
